page,Economy,Human Rights,Peace,Environment,Land Reform,Health,Education,Security
175,0,5,1,1,0,3,1,1
176,1,0,0,0,0,2,1,0
177,1,0,0,0,0,1,0,1
178,2,1,0,0,0,0,1,0
179,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,0,0
181,0,7,0,0,2,0,0,0
182,3,2,0,0,4,8,0,1
183,1,5,0,2,0,2,1,1
184,1,1,0,0,0,1,0,1
185,6,1,1,0,3,2,0,0
186,0,2,0,0,1,0,0,0
187,0,0,0,0,3,0,0,0
188,1,1,0,0,4,1,0,0
189,1,7,0,0,17,0,0,3
190,2,5,1,0,3,1,2,0
191,2,7,1,0,22,1,4,1
192,9,4,3,2,11,1,4,0
193,7,1,5,1,17,0,1,0
194,3,2,4,0,3,0,0,1
195,0,0,0,1,2,0,1,0
196,0,4,1,0,8,0,2,1
197,0,2,0,0,9,0,1,2
198,1,3,1,1,25,0,0,3
199,2,1,0,8,14,1,4,1
200,0,3,2,16,8,0,4,1
201,3,4,1,9,6,3,2,2
202,0,2,1,0,4,0,1,0
203,0,0,0,0,0,0,0,0
204,0,3,6,0,2,3,1,1
205,0,3,0,0,1,0,0,1
206,4,5,2,0,3,0,2,3
207,2,2,0,0,1,2,0,6
208,0,1,0,1,1,1,0,3
209,0,0,1,0,1,0,1,3
210,0,1,1,2,2,1,1,3
211,0,1,2,1,0,0,0,2
212,0,4,0,0,0,0,0,0
213,0,0,0,0,1,0,0,0
214,0,3,1,0,9,4,0,1
215,0,3,0,3,5,0,0,0
216,0,4,3,0,3,1,0,2
217,1,5,1,0,1,0,1,0
218,13,8,1,0,10,1,1,0
219,5,7,0,7,8,2,2,1
220,0,1,2,2,2,0,0,0
221,0,0,0,0,0,0,1,0
222,0,6,0,0,1,1,3,0
223,5,5,1,0,4,0,1,0
224,2,9,0,0,4,0,0,2
225,5,4,0,0,3,6,1,0
226,4,6,1,5,11,0,2,0
227,6,2,1,1,7,1,2,1
228,0,1,0,0,0,0,1,0
229,1,8,0,4,6,1,0,1
230,1,15,1,0,8,0,3,1
231,1,13,0,2,10,7,2,0
232,3,4,2,1,5,3,2,1
233,0,0,0,0,0,0,0,0
234,0,0,0,0,2,0,0,0
235,0,10,5,0,6,1,0,0
236,0,17,0,3,7,2,3,2
237,3,9,0,2,1,3,0,0
238,1,4,0,0,13,0,1,0
239,1,2,0,0,0,1,1,0
240,0,0,0,0,0,0,1,0
241,1,7,0,0,5,0,3,1
242,1,5,0,0,0,0,5,0
243,0,10,3,0,2,0,3,2
244,0,1,0,0,1,0,5,0
245,4,6,1,1,1,0,2,0
246,1,7,1,0,1,2,2,0
247,0,0,0,0,0,0,0,0
248,0,4,0,0,2,2,1,3
249,0,5,0,2,0,2,0,3
250,0,0,0,0,1,0,0,4
251,0,0,0,0,0,0,0,0
252,0,5,0,0,4,1,1,2
253,0,6,0,0,4,0,5,0
254,4,1,1,0,0,2,0,5
255,1,5,1,0,9,0,0,0
256,1,2,0,0,1,3,4,0
257,1,3,0,1,1,3,2,0
258,0,1,0,0,0,0,0,0
259,1,8,2,1,6,0,2,1
260,3,7,2,0,4,1,1,1
261,6,2,2,0,8,2,6,1
262,1,4,1,0,1,0,1,0
263,0,0,0,0,0,0,0,0
264,1,5,4,4,9,1,2,0
265,2,10,4,0,6,0,0,0
